|     |       0       |       1       |       3       |       4       |       5       |
|-----|---------------|---------------|---------------|---------------|---------------|
|  0  | P1: 1460      | P1: 520       | P1: 2506      | P1: 1481      | P1: 2505      |
|     | P2: 1484      | P2: 1960      | P2: 988       | P2: 1481      | P2: 987       |
|  1  | P1: 2080      | P1: 1000      | P1: 3000      | P1: 1000      | P1: 1000      |
|     | P2: 460       | P2: 1000      | P2: 0         | P2: 1000      | P2: 1000      |
|  2  | P1: 948       | P1: 0         | P1: 2000      | P1: 1998      | P1: 1998      |
|     | P2: 2526      | P2: 3000      | P2: 2000      | P2: 2001      | P2: 2001      |
|  3  | P1: 1518      | P1: 1000      | P1: 2001      | P1: 1000      | P1: 1000      |
|     | P2: 1515      | P2: 1000      | P2: 1998      | P2: 1000      | P2: 1000      |
|  4  | P1: 1059      | P1: 1000      | P1: 2001      | P1: 1000      | P1: 1000      |
|     | P2: 2463      | P2: 1000      | P2: 1998      | P2: 1000      | P2: 1000      |
|  5  | P1: 1557      | P1: 1000      | P1: 3000      | P1: 1000      | P1: 1000      |
|     | P2: 1440      | P2: 1000      | P2: 0         | P2: 1000      | P2: 1000      |


